gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,8640.0
Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.84014734080114,961.56
Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.80632809531485,5498.77
Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,95.81417286574344,1245.58
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,82.14725533262083,5914.6
Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.42569009918378,3446.05
Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),115.03653007792289,2300.73
Male,0,No,Yes,36,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.105284281961573,975.79
Female,0,Yes,Yes,71,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.68595417114322,1610.7
Male,1,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.66243899801871,2933.89
Male,0,Yes,Yes,72,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,120.0,8640.0
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),120.0,8640.0
Male,0,No,No,52,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),34.889530165307896,1814.26
Female,0,No,No,17,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,60.21070484786383,1023.58
Female,0,No,Yes,31,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,57.94515647215198,1796.3
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.3661829509093,6578.37
Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.05922622630503,368.95
Male,0,No,Yes,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.6693346659649,2344.06
Male,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,80.05010718126056,1200.75
Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.56860982008693,1379.33
Male,0,No,No,12,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,33.65900647367064,403.91
Female,0,Yes,No,23,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,31.222480638759013,718.12
Female,0,Yes,No,47,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.018456307233144,1175.87
Male,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.525225300403015,450.5
Female,0,Yes,No,45,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),77.15299048779369,3471.88
Male,1,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),61.19578918566936,1285.11
Male,0,No,No,6,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,89.44385511332008,536.66
Male,1,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.077349613594464,116.15
Female,0,No,Yes,29,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.693767084084747,861.12
Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,65.38250554928281,457.68
Male,1,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),118.98592931667079,7734.09
Female,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.13951097421015,585.12
Male,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.79037295340639,1640.91
Male,0,No,No,58,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.38661745271997,1472.42
Female,0,Yes,Yes,38,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),106.91566524180844,4062.8
Female,1,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,119.1945389864382,7747.65
Male,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.50927104390136,1710.19
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.54747088867565,1551.42
Female,0,No,No,20,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.5004694133097,1290.01
Male,0,No,No,33,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),66.41312012218516,2191.63
Male,1,No,No,69,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.55204477403439,1694.09
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),109.14121662692081,436.56
Female,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.21184932855007,3088.47
