gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,1,No,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,5760.0,0
Male,0,No,No,17,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.26602015062893,395.52,1
Female,0,No,No,33,Yes,No,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.8748289590256,2998.87,1
Male,0,Yes,Yes,31,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.61067690486528,762.93,0
Female,0,Yes,No,35,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),84.30047883101462,2950.52,0
Male,0,No,No,9,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.131306631314345,514.18,1
Male,0,No,No,49,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.221298038505793,1088.84,0
Female,0,Yes,Yes,66,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,59.60569764569161,3933.98,0
Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,78.37285811605643,470.24,1
Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,114.59279780522843,7448.53,1
Female,0,Yes,No,72,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.683255382832275,2281.19,0
Male,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),61.509425020280084,3321.51,0
Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.60019929195842,591.6,1
Female,0,Yes,No,54,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.266355573832904,1310.38,0
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.9541847379279,5684.7,0
Female,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,100.42285553537255,2008.46,0
Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.4025399968059,4685.33,0
Female,0,Yes,Yes,51,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.677271924932967,1105.54,1
Male,0,Yes,No,11,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),103.14052485790053,1134.55,1
Female,1,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,71.79745959022812,358.99,0
Male,0,No,No,47,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.466468465932692,1290.92,0
Male,0,No,No,27,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.32039271250005,575.65,0
Male,0,No,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.15676323565086,6046.13,0
Female,0,No,No,58,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),66.41239774343921,3851.92,0
Male,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),112.24823818694105,3479.7,0
Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,108.46154608163604,5206.15,0
Male,1,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.69807475887677,3521.04,1
Female,0,Yes,No,23,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),48.185118393382766,1108.26,1
Female,0,Yes,Yes,18,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),54.185722547631315,975.34,0
Male,0,Yes,Yes,24,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.48922248526136,515.74,1
Female,0,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,95.39551075184373,6009.92,0
Female,0,Yes,No,36,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.70803384848357,2005.49,0
Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,67.06037165932709,670.6,0
Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.10842475285062,3553.23,0
Male,0,No,No,12,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.12778315633979,1009.53,1
Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.573124396831037,611.18,0
Male,0,No,No,14,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,87.32652532320732,1222.57,1
Female,0,Yes,No,61,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.57225693249316,4060.91,1
Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.85039677021699,1797.01,1
Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,82.86492463318531,1408.7,1
Female,1,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.46169266808744,3204.93,1
Male,0,Yes,Yes,43,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,50.598763804957535,2175.75,0
Male,0,No,No,25,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.370167464870068,634.25,0
